Polling_firm,PollDate,LPC,CPC,NDP,BQ,GPC,PPC,SampleSize,mode,NumDays,Other,pollster_id,mode_id
Leger,2022-08-07,0.33,0.28,0.21,0.08,0.04,0.05,1509,Online,1022,0.009999999999999898,1,1
Abacus Data,2022-07-27,0.3,0.35,0.19,0.07,0.04,0.04,2400,Online,1011,0.010000000000000009,2,1
Mainstreet Research,2022-07-18,0.276,0.38299999999999995,0.18100000000000002,0.059000000000000004,0.026000000000000002,0.052000000000000005,1749,IVR,1002,0.0229999999999998,3,2
Abacus Data,2022-07-17,0.31,0.33,0.19,0.08,0.04,0.04,1500,Online,1001,0.009999999999999898,2,1
Leger,2022-07-10,0.32,0.28,0.21,0.07,0.04,0.05,1538,Online,994,0.029999999999999805,1,1
Abacus Data,2022-06-23,0.3,0.34,0.18,0.08,0.04,0.05,3026,Online,977,0.009999999999999898,2,1
Ipsos,2022-06-20,0.32,0.33,0.21,0.08,0.02,0.02,2002,Online,974,0.020000000000000018,4,1
Nanos Research,2022-06-17,0.305,0.355,0.192,0.061,0.051,0.028999999999999998,1000,telephone,971,0.007000000000000117,5,3
Mainstreet Research,2022-06-16,0.34,0.258,0.228,0.078,0.045,0.031,1200,Online,970,0.019999999999999907,3,1
Leger,2022-06-12,0.3,0.32,0.21,0.06,0.04,0.04,1528,Online,966,0.030000000000000027,1,1
Abacus Data,2022-05-24,0.31,0.31,0.19,0.08,0.05,0.05,1500,Online,947,0.009999999999999898,2,1
EKOS,2022-05-17,0.292,0.354,0.19899999999999998,0.043,0.045,0.042,1244,IVR,940,0.025000000000000022,6,2
EKOS,2022-05-09,0.318,0.314,0.203,0.048,0.052000000000000005,0.048,2140,IVR,932,0.016999999999999904,6,2
Abacus Data,2022-05-06,0.31,0.33,0.19,0.08,0.03,0.05,1500,Online,929,0.009999999999999898,2,1
Nanos Research,2022-04-22,0.3,0.35600000000000004,0.196,0.054000000000000006,0.055,0.034,1000,telephone,915,0.004999999999999782,5,3
Leger,2022-04-10,0.31,0.29,0.21,0.07,0.04,0.06,1538,Online,903,0.020000000000000018,1,1
Abacus Data,2022-04-09,0.33,0.31,0.18,0.08,0.04,0.05,2000,Online,902,0.009999999999999898,2,1
Abacus Data,2022-03-25,0.31,0.33,0.17,0.07,0.04,0.06,1500,Online,887,0.019999999999999796,2,1
Nanos Research,2022-03-25,0.322,0.313,0.21600000000000003,0.059000000000000004,0.048,0.036000000000000004,1000,telephone,887,0.005999999999999894,5,3
Nanos Research,2022-03-11,0.321,0.293,0.222,0.064,0.049,0.05,1000,telephone,873,0.0010000000000000009,5,3
Leger,2022-03-06,0.33,0.28,0.22,0.08,0.03,0.05,1591,Online,868,0.009999999999999898,1,1
Abacus Data,2022-02-22,0.31,0.31,0.2,0.08,0.03,0.06,5200,Online,856,0.010000000000000009,2,1
Mainstreet Research,2022-02-17,0.306,0.387,0.146,0.063,0.019,0.062,1323,IVR,851,0.016999999999999904,3,2
Nanos Research,2022-02-11,0.306,0.311,0.16899999999999998,0.071,0.064,0.071,1000,telephone,845,0.008000000000000007,5,3
Abacus Data,2022-02-08,0.33,0.3,0.19,0.08,0.03,0.06,1500,Online,842,0.010000000000000009,2,1
Leger,2022-02-06,0.33,0.29,0.21,0.08,0.04,0.04,1546,Online,840,0.010000000000000009,1,1
Mainstreet Research,2022-01-23,0.294,0.293,0.16699999999999998,0.057999999999999996,0.032,0.127,1813,IVR,826,0.028999999999999915,3,2
Leger,2022-01-23,0.34,0.31,0.18,0.07,0.03,0.06,1525,Online,826,0.009999999999999787,1,1
EKOS,2022-01-17,0.303,0.297,0.195,0.059000000000000004,0.045,0.091,2612,IVR,820,0.010000000000000009,6,2
Nanos Research,2022-01-14,0.282,0.285,0.243,0.061,0.063,0.053,1000,telephone,817,0.013000000000000012,5,3
Angus Reid,2022-01-12,0.34,0.29,0.2,0.05,0.03,0.06,5002,Online,815,0.029999999999999805,7,1
Abacus Data,2022-01-12,0.32,0.3,0.19,0.08,0.03,0.07,2200,Online,815,0.010000000000000009,2,1
Nanos Research,2022-01-07,0.306,0.29,0.214,0.062,0.061,0.057,1000,telephone,810,0.01000000000000012,5,3
EKOS,2021-12-21,0.32,0.25,0.23,0.04,0.04,0.1,1015,IVR,793,0.019999999999999907,6,2
Leger,2021-12-05,0.36,0.29,0.19,0.07,0.03,0.05,1547,Online,777,0.010000000000000009,1,1
Mainstreet Research,2021-11-30,0.335,0.303,0.157,0.055,0.032,0.1,1719,IVR,772,0.017999999999999905,3,2
Abacus Data,2021-11-30,0.32,0.3,0.2,0.08,0.03,0.06,2025,Online,772,0.010000000000000009,2,1
Angus Reid,2021-11-29,0.35,0.29,0.2,0.07,0.02,0.05,2005,Online,771,0.020000000000000018,7,1
EKOS,2021-11-21,0.304,0.266,0.191,0.059000000000000004,0.052000000000000005,0.114,1006,IVR,763,0.01399999999999979,6,2
Leger,2021-11-07,0.35,0.26,0.22,0.08,0.03,0.05,1565,Online,749,0.010000000000000009,1,1
Nanos Research,2021-10-29,0.308,0.301,0.21600000000000003,0.07400000000000001,0.031,0.057999999999999996,1000,telephone,740,0.01200000000000001,5,3
Nanos Research,2021-10-22,0.299,0.308,0.231,0.073,0.027000000000000003,0.053,1000,telephone,733,0.009000000000000008,5,3
Abacus Data,2021-10-20,0.33,0.3,0.19,0.07,0.03,0.06,2220,Online,731,0.019999999999999796,2,1
Nanos Research,2021-08-13,0.33399999999999996,0.284,0.207,0.063,0.079,0.019,1000,telephone,663,0.014000000000000123,5,3
Leger,2021-08-12,0.35,0.3,0.19,0.07,0.05,0.03,1615,Online,662,0.010000000000000009,1,1
Abacus Data,2021-08-11,0.37,0.28,0.2,0.05,0.05,0.04,3000,Online,661,0.009999999999999787,2,1
EKOS,2021-08-10,0.363,0.27699999999999997,0.18600000000000003,0.053,0.068,0.046,1482,IVR,660,0.006999999999999895,6,2
Nanos Research,2021-08-06,0.37,0.273,0.19,0.057999999999999996,0.07,0.022000000000000002,1000,telephone,656,0.016999999999999904,5,3
Innovative Research,2021-08-04,0.39,0.25,0.19,0.07,0.06,0.03,1953,Online,654,0.009999999999999787,8,1
Leger,2021-08-01,0.36,0.29,0.2,0.07,0.04,0.03,2079,Online,651,0.010000000000000009,1,1
Nanos Research,2021-07-30,0.38799999999999996,0.255,0.195,0.059000000000000004,0.064,0.026000000000000002,1000,telephone,649,0.0129999999999999,5,3
Nanos Research,2021-07-23,0.373,0.25,0.214,0.06,0.055,0.035,1000,telephone,642,0.0129999999999999,5,3
Innovative Research,2021-07-21,0.41,0.27,0.17,0.06,0.05,0.03,834,Online,640,0.010000000000000009,8,1
EKOS,2021-07-21,0.35200000000000004,0.27699999999999997,0.185,0.055999999999999994,0.052000000000000005,0.045,1934,IVR,640,0.03299999999999981,6,2
Ipsos,2021-07-20,0.36,0.3,0.2,0.07,0.03,0.02,1000,Online,639,0.020000000000000018,4,1
Angus Reid,2021-07-16,0.33,0.31,0.2,0.07,0.03,0.04,1625,Online,635,0.019999999999999796,7,1
Nanos Research,2021-07-16,0.39299999999999996,0.23600000000000002,0.217,0.048,0.068,0.03,1000,telephone,635,0.008000000000000007,5,3
Leger,2021-07-04,0.33,0.3,0.19,0.07,0.05,0.04,1518,Online,623,0.019999999999999796,1,1
Nanos Research,2021-07-02,0.381,0.23600000000000002,0.204,0.051,0.075,0.043,1000,telephone,621,0.010000000000000009,5,3
Abacus Data,2021-06-30,0.37,0.25,0.2,0.07,0.06,0.03,1500,Online,619,0.019999999999999796,2,1
Nanos Research,2021-06-25,0.371,0.247,0.193,0.057999999999999996,0.079,0.040999999999999995,1000,telephone,614,0.01100000000000001,5,3
Abacus Data,2021-06-21,0.37,0.27,0.18,0.09,0.05,0.03,2070,Online,610,0.009999999999999898,2,1
